FirstPartyVehicleNumber,ThirdPartyVehicleNumber,DamageImportance,PolicyWasSubscribedOnInternet,NumberOfPoliciesOfPolicyholder,FpVehicleAgeMonths,EasinessToStage,ClaimWihoutIdentifiedThirdParty,ClaimAmount,LossHour,PolicyHolderAge,NumberOfBodilyInjuries,FirstPartyLiability,Fraud,days_between,IfinSameArea,PolicyholderOccupation_CivilServant,PolicyholderOccupation_Employee,PolicyholderOccupation_Executive,PolicyholderOccupation_Farmer,PolicyholderOccupation_HeadOfCompany,PolicyholderOccupation_Merchant,PolicyholderOccupation_Retired,PolicyholderOccupation_SelfEmployed,PolicyholderOccupation_Student,PolicyholderOccupation_Unemployed,PolicyholderOccupation_Worker,ClaimCause_AccidentOrCollision,ClaimCause_AccidentWithIdentifiedThirdParty,ClaimCause_AccidentWithUnidentifiedThirdParty,ClaimCause_CollisionWithAnimal,ClaimCause_CollisionWithPedestrian,ClaimCause_Fire,ClaimCause_Flood,ClaimCause_ForcesOfNature,ClaimCause_Hail,ClaimCause_LegalProtection,ClaimCause_LossOfControl,ClaimCause_MultiVehicleCrash,ClaimCause_Storm,ClaimCause_TheftAttempt,ClaimCause_TheftOfExteriorElements,ClaimCause_TotalTheft,ClaimCause_Vandalism,ClaimCause_WindscreenDamage,ClaimInvolvedCovers_ActLiability,ClaimInvolvedCovers_ActLiability Burglary,ClaimInvolvedCovers_ActLiability Fire,ClaimInvolvedCovers_ActLiability NaturalCatastrophes,ClaimInvolvedCovers_ActLiability ReplacementVehicle,ClaimInvolvedCovers_ActLiability Theft,ClaimInvolvedCovers_ActLiability ThirdParty,ClaimInvolvedCovers_MaterialDamages,ClaimInvolvedCovers_MaterialDamages ActLiability,ClaimInvolvedCovers_MaterialDamages ActLiability Burglary,ClaimInvolvedCovers_MaterialDamages ActLiability MedicalCare,ClaimInvolvedCovers_MaterialDamages ActLiability ReplacementVehicle,ClaimInvolvedCovers_MaterialDamages ActLiability ThirdParty,ClaimInvolvedCovers_ThirdParty,ClaimInvolvedCovers_Windscreen,ClaimInvolvedCovers_Windscreen ActLiability,ClaimInvolvedCovers_other,FirstPartyVehicleType_Car,FirstPartyVehicleType_Caravan,FirstPartyVehicleType_Motorcycle,FirstPartyVehicleType_PrivateCar,ConnectionBetweenParties_SameAddress,ConnectionBetweenParties_SameBankAccount,ConnectionBetweenParties_SameEmail,ConnectionBetweenParties_SamePhone,ConnectionBetweenParties_SamePolice
20,0.0,0,0,1.0,0.0,0.21189024390243902,0.5,1.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.06129233326407646,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
21,0.0,0,0,1.0,0.0,0.042682926829268296,0.5,1.0,0.023754482502782243,0.2608695652173913,0.4583333333333333,0.0,1.0,0.0,0.34815430431470323,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,0.0,0,0,0.0,0.11764705882352941,0.3475609756097561,0.5,1.0,0.005701743539013231,0.0,0.4583333333333333,0.0,0.0,0.0,0.09529745827273357,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
23,0.0,0,0,0.0,0.0,0.18902439024390244,0.25,1.0,0.01609465809323606,0.6521739130434783,0.6527777777777778,0.0,0.0,0.0,0.046125077913982966,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24,0.0,0,0,0.0,0.0,0.22865853658536586,0.25,1.0,0.028214109063929762,0.9130434782608695,0.1388888888888889,0.0,0.0,0.0,0.4282152503635986,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25,0.0,0,0,1.0,0.0,0.3902439024390244,0.5,1.0,0.0,0.5217391304347826,0.2361111111111111,0.0,1.0,0.0,0.07749844172034075,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26,0.0,0,0,0.0,0.0,0.31859756097560976,0.5,1.0,0.0,0.43478260869565216,0.013888888888888888,0.0,1.0,0.0,0.06510146132003601,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
27,0.0,0,0,0.0,0.0,0.053353658536585365,0.25,0.0,0.0450139112155311,0.9130434782608695,0.7222222222222222,0.0,0.0,0.0,0.09529745827273357,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28,0.0,0,2,0.0,0.11764705882352941,0.19817073170731708,0.25,0.0,0.08201372573265735,0.0,0.5277777777777778,0.0,1.0,0.0,0.07424336865433895,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
29,0.0,0,0,0.0,0.0,0.022865853658536585,0.5,1.0,0.001545381476443675,0.0,0.2222222222222222,0.0,0.0,0.0,0.4597963847911905,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
30,0.0,0,0,0.0,0.11764705882352941,0.1951219512195122,0.25,0.0,0.04250401879559788,0.5217391304347826,0.3472222222222222,0.0,0.0,0.0,0.08795622965579333,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
31,0.0,0,0,0.0,0.11764705882352941,0.15396341463414634,0.5,1.0,0.0021191418325707924,0.0,0.3055555555555556,0.0,0.0,0.0,0.49968834406814877,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
32,0.0,0,0,1.0,0.0,0.009146341463414634,0.5,1.0,0.0,0.5217391304347826,0.5138888888888888,0.0,0.0,0.0,0.04820278412632454,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
33,0.0,0,0,0.0,0.058823529411764705,0.21951219512195122,0.25,0.0,0.13914631507357486,0.782608695652174,0.16666666666666666,0.0,0.0,0.0,0.33762725950550593,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
34,0.0,0,0,0.0,0.0,0.18445121951219512,0.5,1.0,0.0034731668109311237,0.43478260869565216,0.4027777777777778,0.0,0.0,0.0,0.30805457441651085,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
35,0.0,0,0,1.0,0.0,0.38871951219512196,0.5,1.0,0.009873407938666996,0.0,0.4722222222222222,0.0,0.0,0.0,0.07756769859408547,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
36,0.0,0,0,0.0,0.0,0.13719512195121952,0.5,1.0,0.08568489551131446,0.7391304347826086,0.1527777777777778,0.0,1.0,0.0,0.07742918484659603,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
37,0.0,0,0,0.0,0.058823529411764705,0.1676829268292683,0.5,1.0,0.0,0.6956521739130435,0.9027777777777778,0.0,1.0,0.0,0.4935244823048688,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
38,0.0,1,2,0.0,0.11764705882352941,0.2759146341463415,0.25,0.0,0.0,0.30434782608695654,0.20833333333333334,0.0,0.0,0.0,0.2363737100907265,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39,0.0,0,0,1.0,0.0,0.35823170731707316,0.25,0.0,0.0,0.7391304347826086,0.18055555555555555,0.0,1.0,0.0,0.07431262552808367,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40,0.0,0,0,0.0,0.058823529411764705,0.28810975609756095,0.25,1.0,0.0,0.0,0.1388888888888889,0.0,0.0,0.0,0.0943278620403075,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
41,0.0,0,0,0.0,0.0,0.07926829268292683,0.25,0.0,0.012886577222703104,0.782608695652174,0.7083333333333334,0.0,1.0,0.0,0.07168086432578434,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
42,0.0,0,0,1.0,0.0,0.19969512195121952,0.5,1.0,0.0,0.0,0.09722222222222222,0.0,0.0,0.0,0.08172311101876861,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
43,0.0,0,0,0.0,0.0,0.2347560975609756,0.25,1.0,0.0019280944726103623,0.0,0.4305555555555556,0.0,0.0,0.0,0.06371632384514163,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
44,0.0,0,0,0.0,0.0,0.125,0.15,0.0,0.10260155187337702,0.5217391304347826,0.3055555555555556,0.0,0.0,0.0,0.060876792021608145,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
45,0.0,0,0,0.0,0.058823529411764705,0.2682926829268293,0.25,0.0,0.06179624706318783,0.8260869565217391,0.4027777777777778,0.0,0.0,0.0,0.07230417618948681,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
46,0.0,0,0,0.0,0.058823529411764705,0.08079268292682927,0.25,0.0,0.02290713490787684,0.6086956521739131,0.3472222222222222,0.0,1.0,0.0,0.3882540342128956,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
